utcdatetime,volume,quoteVolume,high,low,timestamp,close,weightedAverage,open
2016-09-14 04:00:00,8.12616448,9903256.26607,8.3e-07,8.1e-07,1473825600.0,8.2e-07,8.2e-07,8.2e-07
2016-09-14 08:00:00,5.48214472,6653392.10202,8.3e-07,8.2e-07,1473840000.0,8.2e-07,8.2e-07,8.2e-07
2016-09-14 12:00:00,3.69174123,4476764.37906,8.3e-07,8.2e-07,1473854400.0,8.3e-07,8.2e-07,8.2e-07
2016-09-14 16:00:00,59.7240019,73122450.4209,8.4e-07,8e-07,1473868800.0,8.2e-07,8.1e-07,8.2e-07
2016-09-14 20:00:00,44.58333839,54093363.1711,8.4e-07,8.1e-07,1473883200.0,8.3e-07,8.2e-07,8.2e-07
2016-09-15 00:00:00,12.88680355,15434681.2035,8.4e-07,8.2e-07,1473897600.0,8.4e-07,8.3e-07,8.3e-07
2016-09-15 04:00:00,5.45109648,6540078.96695,8.4e-07,8.3e-07,1473912000.0,8.3e-07,8.3e-07,8.3e-07
2016-09-15 08:00:00,8.10563105,9656014.47562,8.5e-07,8.3e-07,1473926400.0,8.4e-07,8.3e-07,8.4e-07
2016-09-15 12:00:00,48.16909872,58589739.0559,8.5e-07,8.1e-07,1473940800.0,8.1e-07,8.2e-07,8.4e-07
2016-09-15 16:00:00,73.89522917,90011391.1694,8.4e-07,8.1e-07,1473955200.0,8.2e-07,8.2e-07,8.1e-07
2016-09-15 20:00:00,10.82119962,13205022.1633,8.3e-07,8.1e-07,1473969600.0,8.2e-07,8.1e-07,8.2e-07
2016-09-16 00:00:00,39.28823821,46659718.5196,8.6e-07,8.1e-07,1473984000.0,8.3e-07,8.4e-07,8.2e-07
2016-09-16 04:00:00,20.09075593,24486914.8926,8.3e-07,8.1e-07,1473998400.0,8.2e-07,8.2e-07,8.3e-07
2016-09-16 08:00:00,4.82312348,5858090.25918,8.3e-07,8.2e-07,1474012800.0,8.3e-07,8.2e-07,8.2e-07
2016-09-16 12:00:00,30.26901971,36735557.9037,8.3e-07,8.1e-07,1474027200.0,8.2e-07,8.2e-07,8.2e-07
2016-09-16 16:00:00,22.78307779,27761496.2911,8.3e-07,8.1e-07,1474041600.0,8.2e-07,8.2e-07,8.2e-07
2016-09-16 20:00:00,3.85310417,4716396.59379,8.3e-07,8.1e-07,1474056000.0,8.1e-07,8.1e-07,8.2e-07
2016-09-17 00:00:00,14.95561566,18120951.9014,8.3e-07,8.1e-07,1474070400.0,8.2e-07,8.2e-07,8.1e-07
2016-09-17 04:00:00,17.4279948,21166629.3995,8.4e-07,8.1e-07,1474084800.0,8.2e-07,8.2e-07,8.2e-07
2016-09-17 08:00:00,6.22275713,7538933.85618,8.3e-07,8.1e-07,1474099200.0,8.1e-07,8.2e-07,8.2e-07
2016-09-17 12:00:00,10.5787202,12846879.5109,8.3e-07,8.1e-07,1474113600.0,8.1e-07,8.2e-07,8.1e-07
2016-09-17 16:00:00,11.41087809,14016859.8497,8.3e-07,8.1e-07,1474128000.0,8.1e-07,8.1e-07,8.1e-07
2016-09-17 20:00:00,5.85468342,7170792.90539,8.2e-07,8.1e-07,1474142400.0,8.2e-07,8.1e-07,8.1e-07
2016-09-18 00:00:00,13.45842998,16434420.6031,8.2e-07,8.1e-07,1474156800.0,8.1e-07,8.1e-07,8.1e-07
2016-09-18 04:00:00,10.99937441,13486117.9509,8.3e-07,8.1e-07,1474171200.0,8.2e-07,8.1e-07,8.1e-07
2016-09-18 08:00:00,5.00796986,6125849.77976,8.3e-07,8.1e-07,1474185600.0,8.2e-07,8.1e-07,8.2e-07
2016-09-18 12:00:00,8.27359404,10107228.3154,8.3e-07,8.1e-07,1474200000.0,8.1e-07,8.1e-07,8.3e-07
2016-09-18 16:00:00,6.09160368,7506099.9671,8.2e-07,8.1e-07,1474214400.0,8.1e-07,8.1e-07,8.1e-07
2016-09-18 20:00:00,9.79017045,12093281.3849,8.2e-07,8e-07,1474228800.0,8e-07,8e-07,8.1e-07
2016-09-19 00:00:00,11.03348281,13588198.6417,8.2e-07,8e-07,1474243200.0,8e-07,8.1e-07,8e-07
2016-09-19 04:00:00,3.30539042,4065026.43067,8.2e-07,8e-07,1474257600.0,8e-07,8.1e-07,8.2e-07
2016-09-19 08:00:00,12.0273384,14833736.4583,8.2e-07,8e-07,1474272000.0,8.1e-07,8.1e-07,8e-07
2016-09-19 12:00:00,6.43871102,7881145.10114,8.2e-07,8.1e-07,1474286400.0,8.1e-07,8.1e-07,8.1e-07
2016-09-19 16:00:00,14.16368506,17430987.9637,8.2e-07,8e-07,1474300800.0,8.1e-07,8.1e-07,8.1e-07
2016-09-19 20:00:00,10.82640249,13217886.0202,8.3e-07,8.1e-07,1474315200.0,8.1e-07,8.1e-07,8.1e-07
2016-09-20 00:00:00,8.5972932,10549844.7494,8.3e-07,8.1e-07,1474329600.0,8.1e-07,8.1e-07,8.1e-07
2016-09-20 04:00:00,11.21619175,13879084.2834,8.2e-07,8e-07,1474344000.0,8e-07,8e-07,8.1e-07
2016-09-20 08:00:00,35.73791251,43575804.792,8.3e-07,8e-07,1474358400.0,8.2e-07,8.2e-07,8e-07
2016-09-20 12:00:00,9.41141333,11456249.2962,8.3e-07,8.2e-07,1474372800.0,8.2e-07,8.2e-07,8.2e-07
2016-09-20 16:00:00,120.84010691,139381072.288,9.3e-07,8.2e-07,1474387200.0,9e-07,8.6e-07,8.2e-07
2016-09-20 20:00:00,565.65674842,593053598.379,1.04e-06,8.6e-07,1474401600.0,8.9e-07,9.5e-07,9e-07
2016-09-21 00:00:00,24.50691483,27719688.0564,9.1e-07,8.6e-07,1474416000.0,8.7e-07,8.8e-07,8.8e-07
2016-09-21 04:00:00,23.93287677,27763787.0488,8.9e-07,8.5e-07,1474430400.0,8.5e-07,8.6e-07,8.8e-07
2016-09-21 08:00:00,29.83010881,34341004.2744,8.9e-07,8.5e-07,1474444800.0,8.7e-07,8.6e-07,8.5e-07
2016-09-21 12:00:00,100.8351956,110977814.633,9.4e-07,8.7e-07,1474459200.0,9.3e-07,9e-07,8.7e-07
2016-09-21 16:00:00,60.05239217,67193232.9272,9.3e-07,8.8e-07,1474473600.0,8.8e-07,8.9e-07,9.2e-07
2016-09-21 20:00:00,19.1824733,21966797.8732,8.9e-07,8.6e-07,1474488000.0,8.7e-07,8.7e-07,8.7e-07
2016-09-22 00:00:00,15.38392574,17752189.5152,8.9e-07,8.6e-07,1474502400.0,8.6e-07,8.6e-07,8.9e-07
2016-09-22 04:00:00,11.38777901,13168425.1715,8.7e-07,8.6e-07,1474516800.0,8.7e-07,8.6e-07,8.6e-07
2016-09-22 08:00:00,5.40674228,6282656.61072,8.7e-07,8.6e-07,1474531200.0,8.6e-07,8.6e-07,8.6e-07
2016-09-22 12:00:00,31.22061934,36569772.1386,8.7e-07,8.4e-07,1474545600.0,8.5e-07,8.5e-07,8.7e-07
2016-09-22 16:00:00,12.95512682,15432144.5723,8.6e-07,8.3e-07,1474560000.0,8.4e-07,8.3e-07,8.4e-07
2016-09-22 20:00:00,5.32041221,6310050.89299,8.6e-07,8.3e-07,1474574400.0,8.4e-07,8.4e-07,8.5e-07
2016-09-23 00:00:00,19.41656843,23343099.4788,8.6e-07,8.2e-07,1474588800.0,8.3e-07,8.3e-07,8.5e-07
2016-09-23 04:00:00,13.65146618,16472753.2838,8.4e-07,8.2e-07,1474603200.0,8.3e-07,8.2e-07,8.3e-07
2016-09-23 08:00:00,4.43996762,5329637.41441,8.4e-07,8.3e-07,1474617600.0,8.3e-07,8.3e-07,8.3e-07
2016-09-23 12:00:00,9.48199151,11404623.5629,8.4e-07,8.3e-07,1474632000.0,8.3e-07,8.3e-07,8.3e-07
2016-09-23 16:00:00,6.31650481,7639272.51839,8.4e-07,8.2e-07,1474646400.0,8.2e-07,8.2e-07,8.4e-07
2016-09-23 20:00:00,9.99648962,12117489.8162,8.4e-07,8.2e-07,1474660800.0,8.3e-07,8.2e-07,8.2e-07
2016-09-24 00:00:00,2.87138768,3445960.92308,8.4e-07,8.3e-07,1474675200.0,8.3e-07,8.3e-07,8.3e-07
2016-09-24 04:00:00,4.73438484,5733864.44549,8.3e-07,8.2e-07,1474689600.0,8.2e-07,8.2e-07,8.3e-07
2016-09-24 08:00:00,10.28017072,12394649.2562,8.4e-07,8.2e-07,1474704000.0,8.2e-07,8.2e-07,8.2e-07
2016-09-24 12:00:00,4.86964189,5905822.51897,8.3e-07,8.2e-07,1474718400.0,8.2e-07,8.2e-07,8.2e-07
2016-09-24 16:00:00,9.08923209,11018268.2949,8.4e-07,8.2e-07,1474732800.0,8.2e-07,8.2e-07,8.2e-07
2016-09-24 20:00:00,1.07621299,1295845.18963,8.4e-07,8.2e-07,1474747200.0,8.3e-07,8.3e-07,8.3e-07
2016-09-25 00:00:00,1.60033281,1926732.60276,8.4e-07,8.3e-07,1474761600.0,8.3e-07,8.3e-07,8.3e-07
2016-09-25 04:00:00,14.17835131,17250652.0549,8.4e-07,8.2e-07,1474776000.0,8.2e-07,8.2e-07,8.3e-07
2016-09-25 08:00:00,8.97124528,10940411.5506,8.3e-07,8.2e-07,1474790400.0,8.2e-07,8.2e-07,8.2e-07
2016-09-25 12:00:00,45.14400819,55504188.4893,8.3e-07,8.1e-07,1474804800.0,8.2e-07,8.1e-07,8.2e-07
2016-09-25 16:00:00,7.67044009,9335623.05959,8.3e-07,8.1e-07,1474819200.0,8.2e-07,8.2e-07,8.1e-07
2016-09-25 20:00:00,7.28721267,8906529.59672,8.3e-07,8.1e-07,1474833600.0,8.1e-07,8.1e-07,8.2e-07
2016-09-26 00:00:00,2.89806545,3561537.35586,8.3e-07,8.1e-07,1474848000.0,8.1e-07,8.1e-07,8.2e-07
2016-09-26 04:00:00,10.04280898,12375152.7624,8.2e-07,8.1e-07,1474862400.0,8.1e-07,8.1e-07,8.1e-07
2016-09-26 08:00:00,14.71770881,18329899.4848,8.2e-07,8e-07,1474876800.0,8.1e-07,8e-07,8.1e-07
2016-09-26 12:00:00,21.51237462,26844745.9125,8.2e-07,7.9e-07,1474891200.0,8e-07,8e-07,8e-07
2016-09-26 16:00:00,6.73375632,8423379.76649,8.2e-07,7.9e-07,1474905600.0,8.2e-07,7.9e-07,8.1e-07
2016-09-26 20:00:00,8.34410389,10346121.2275,8.2e-07,7.9e-07,1474920000.0,7.9e-07,8e-07,8.1e-07
2016-09-27 00:00:00,10.43479236,13166528.4433,8.1e-07,7.9e-07,1474934400.0,8e-07,7.9e-07,8e-07
2016-09-27 04:00:00,2.14094357,2707013.05194,8.1e-07,7.9e-07,1474948800.0,7.9e-07,7.9e-07,8e-07
2016-09-27 08:00:00,4.16932037,5273781.97793,8e-07,7.9e-07,1474963200.0,7.9e-07,7.9e-07,7.9e-07
2016-09-27 12:00:00,9.91939903,12594448.2804,8e-07,7.8e-07,1474977600.0,7.8e-07,7.8e-07,7.9e-07
2016-09-27 16:00:00,11.44714336,14436851.7843,8e-07,7.8e-07,1474992000.0,7.9e-07,7.9e-07,7.8e-07
2016-09-27 20:00:00,14.54450481,18365418.8373,8.1e-07,7.8e-07,1475006400.0,8e-07,7.9e-07,7.9e-07
2016-09-28 00:00:00,1.53748087,1931058.09675,8.1e-07,7.9e-07,1475020800.0,7.9e-07,7.9e-07,8e-07
2016-09-28 04:00:00,5.13805172,6544876.80807,8e-07,7.8e-07,1475035200.0,7.8e-07,7.8e-07,7.9e-07
2016-09-28 08:00:00,23.62197901,29743623.7623,8.1e-07,7.8e-07,1475049600.0,7.8e-07,7.9e-07,7.8e-07
2016-09-28 12:00:00,9.66425128,12226690.9366,8.1e-07,7.8e-07,1475064000.0,7.9e-07,7.9e-07,7.9e-07
2016-09-28 16:00:00,14.09096428,17579774.0785,8.2e-07,7.8e-07,1475078400.0,7.9e-07,8e-07,7.8e-07
2016-09-28 20:00:00,6.69290013,8349662.63962,8.1e-07,7.9e-07,1475092800.0,7.9e-07,8e-07,8e-07
2016-09-29 00:00:00,8.55507639,10813012.3844,8e-07,7.9e-07,1475107200.0,8e-07,7.9e-07,7.9e-07
2016-09-29 04:00:00,10.98765442,13693591.531,8.2e-07,7.9e-07,1475121600.0,7.9e-07,8e-07,7.9e-07
2016-09-29 08:00:00,6.61526453,8329501.16551,8e-07,7.9e-07,1475136000.0,7.9e-07,7.9e-07,8e-07
2016-09-29 12:00:00,6.71406935,8437915.61786,8.1e-07,7.9e-07,1475150400.0,8e-07,7.9e-07,7.9e-07
2016-09-29 16:00:00,30.97351771,39889478.2878,8e-07,7.5e-07,1475164800.0,7.5e-07,7.7e-07,7.9e-07
2016-09-29 20:00:00,18.16549956,22907895.8139,8e-07,7.5e-07,1475179200.0,7.8e-07,7.9e-07,7.5e-07
2016-09-30 00:00:00,5.37203024,6949049.9508,7.9e-07,7.7e-07,1475193600.0,7.7e-07,7.7e-07,7.7e-07
2016-09-30 04:00:00,7.0745866,9140899.53011,7.9e-07,7.7e-07,1475208000.0,7.9e-07,7.7e-07,7.7e-07
2016-09-30 08:00:00,3.69822578,4768406.82473,7.9e-07,7.7e-07,1475222400.0,7.7e-07,7.7e-07,7.8e-07
2016-09-30 12:00:00,2.93922987,3774130.52296,7.9e-07,7.7e-07,1475236800.0,7.8e-07,7.7e-07,7.8e-07
2016-09-30 16:00:00,4.48956849,5746984.68643,7.9e-07,7.7e-07,1475251200.0,7.8e-07,7.8e-07,7.8e-07
2016-09-30 20:00:00,29.24589738,36304402.1697,8.2e-07,7.7e-07,1475265600.0,8e-07,8e-07,7.8e-07
2016-10-01 00:00:00,6.94695667,8767533.72472,8.1e-07,7.8e-07,1475280000.0,7.8e-07,7.9e-07,8.1e-07
2016-10-01 04:00:00,14.93435884,19348234.2717,7.9e-07,7.6e-07,1475294400.0,7.8e-07,7.7e-07,7.8e-07
2016-10-01 08:00:00,7.22584385,9321368.58696,7.9e-07,7.6e-07,1475308800.0,7.6e-07,7.7e-07,7.7e-07
2016-10-01 12:00:00,9.98185906,13057502.9645,7.8e-07,7.6e-07,1475323200.0,7.6e-07,7.6e-07,7.7e-07
2016-10-01 16:00:00,7.71838385,10075144.0475,7.8e-07,7.6e-07,1475337600.0,7.7e-07,7.6e-07,7.6e-07
2016-10-01 20:00:00,3.18873931,4180562.25328,7.8e-07,7.6e-07,1475352000.0,7.6e-07,7.6e-07,7.8e-07
2016-10-02 00:00:00,5.39231855,7015465.8922,7.8e-07,7.6e-07,1475366400.0,7.6e-07,7.6e-07,7.7e-07
2016-10-02 04:00:00,6.35444538,8227107.71985,7.8e-07,7.6e-07,1475380800.0,7.6e-07,7.7e-07,7.6e-07
2016-10-02 08:00:00,8.38050025,11047282.4522,7.7e-07,7.5e-07,1475395200.0,7.6e-07,7.5e-07,7.6e-07
2016-10-02 12:00:00,11.15416187,14712367.3591,7.8e-07,7.5e-07,1475409600.0,7.5e-07,7.5e-07,7.6e-07
2016-10-02 16:00:00,5.77857133,7700362.90489,7.6e-07,7.5e-07,1475424000.0,7.5e-07,7.5e-07,7.5e-07
2016-10-02 20:00:00,8.61976736,11279237.4395,7.7e-07,7.5e-07,1475438400.0,7.6e-07,7.6e-07,7.5e-07
2016-10-03 00:00:00,37.25465192,47066523.6463,8.2e-07,7.6e-07,1475452800.0,7.8e-07,7.9e-07,7.7e-07
2016-10-03 04:00:00,8.32503179,10603749.1172,8e-07,7.7e-07,1475467200.0,7.8e-07,7.8e-07,7.8e-07
2016-10-03 08:00:00,9.79396658,12514532.9891,8e-07,7.7e-07,1475481600.0,7.8e-07,7.8e-07,7.8e-07
2016-10-03 12:00:00,8.48326005,10873562.9485,7.9e-07,7.7e-07,1475496000.0,7.9e-07,7.8e-07,7.8e-07
2016-10-03 16:00:00,9.27032139,11822397.7369,8e-07,7.8e-07,1475510400.0,7.8e-07,7.8e-07,7.9e-07
2016-10-03 20:00:00,2.61249112,3355569.42068,7.9e-07,7.7e-07,1475524800.0,7.7e-07,7.7e-07,7.8e-07
2016-10-04 00:00:00,29.92495193,37533624.3844,8.1e-07,7.7e-07,1475539200.0,7.9e-07,7.9e-07,7.7e-07
2016-10-04 04:00:00,7.59008162,9604890.8046,8.1e-07,7.8e-07,1475553600.0,7.8e-07,7.9e-07,7.9e-07
2016-10-04 08:00:00,4.05265331,5190907.3916,7.9e-07,7.8e-07,1475568000.0,7.9e-07,7.8e-07,7.8e-07
2016-10-04 12:00:00,6.18004748,7890785.59883,7.9e-07,7.8e-07,1475582400.0,7.8e-07,7.8e-07,7.8e-07
2016-10-04 16:00:00,57.4625354,75749779.6369,8e-07,7.4e-07,1475596800.0,7.7e-07,7.5e-07,7.9e-07
2016-10-04 20:00:00,42.95061172,58252450.9712,7.7e-07,7e-07,1475611200.0,7.6e-07,7.3e-07,7.6e-07
2016-10-05 00:00:00,7.34545396,9760863.25517,7.7e-07,7.4e-07,1475625600.0,7.6e-07,7.5e-07,7.6e-07
2016-10-05 04:00:00,4.22215545,5576713.43662,7.7e-07,7.4e-07,1475640000.0,7.5e-07,7.5e-07,7.5e-07
2016-10-05 08:00:00,3.13011446,4132152.29955,7.7e-07,7.5e-07,1475654400.0,7.6e-07,7.5e-07,7.5e-07
2016-10-05 12:00:00,3.5307707,4680510.2772,7.6e-07,7.5e-07,1475668800.0,7.5e-07,7.5e-07,7.5e-07
2016-10-05 16:00:00,16.55964051,22217217.8562,7.6e-07,7.4e-07,1475683200.0,7.4e-07,7.4e-07,7.5e-07
2016-10-05 20:00:00,5.95148632,7955230.96976,7.6e-07,7.4e-07,1475697600.0,7.4e-07,7.4e-07,7.5e-07
2016-10-06 00:00:00,2.92610839,3906626.62946,7.6e-07,7.4e-07,1475712000.0,7.4e-07,7.4e-07,7.4e-07
2016-10-06 04:00:00,7.5979852,10221172.6354,7.6e-07,7.3e-07,1475726400.0,7.5e-07,7.4e-07,7.4e-07
2016-10-06 08:00:00,13.0621035,17767966.6854,7.6e-07,7.2e-07,1475740800.0,7.4e-07,7.3e-07,7.5e-07
2016-10-06 12:00:00,4.36461199,5891851.12363,7.5e-07,7.3e-07,1475755200.0,7.3e-07,7.4e-07,7.4e-07
